BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
huaq,,"kurungan ayam, burung",fowl pen / aviary,n,,,,
hugakng,,beruang,bear,n,anaak hugakng neq pajiq temelump,anak beruang itu bagus untuk di pelihara,the bear cub is good to keep as a pet,
huge,,masih,still,adv,malikng joq soq tengaman polisi apan huge tenghakimi warga?,Pencuri itu sudah diamankan polisi atau masih dihakimi masyarakat?,has the thief been arrested by the police or is he still being beaten by the public?,
huit,,belentik (alat jebakan untuk membunuh binatang),hunting trap / animal trap,n,plokaq neq kenaq huit Boq Rahmat,Kancil ini terjebak dalam perangkap yang dibuat Kakek Rahmat.,This mouse deer got caught in a trap made by Grandpa Rahmat,
hujukng,,silsilah; turunan,"lineage, family tree; descendants",n,anak hujukng akui kekaat ngua kamiq di Lakatn Bilem,anak turunan saya datang pergi jenguk kami di Lakan Bilem,My descendants came to visit us in Lakan Bilem,
hukupm,,dihukum,be penalized,n,akui temehukump sion onceq moot ji sekolah,Aku dihukum karena terlambat datang ke sekolah,I got penalized for arriving late at school.,
hukupm,hukupm sudaq,orang yang dipenjarakan ,prisoner,n,"akui kenikng, Robi hukump sudaq sion isaq bi ngemperah anak petinggi ",Saya dengar Robi dipenjara karena memukul anak seorang petinggi.,I heard that Robi went to prison for hitting the child of an official.,
humung,,bunga durian yang belum mekar,durian blossom that hasn’t bloomed,n,adiq ke humung yaq adiq abatn tuhiq nyokapm,"Banyak bunga durian yang belum mekar, dan banyak anak-anak yang terkena flu","Many durian flowers haven’t blossomed yet, and many children are sick with the flu.",
ibopm,,kempot; caung; kempung,flat / deflated / shrunken / limp,a ,,,,
ibus,,daun palem kering yang digantung,hanging dried palm frond,n,,,,
icok,,cucuk,Prick / stab / pierce,v,unya nengaq icoq joq non koi?,Siapa yang membuat cucukan itu untukmu?,Who made that by piercing it for you?,
icok,icok kesikng,tusuk gigi,toothpick,n,meliq icok kesikng di dapeq eraq loren non akui,Tolong beli tusuk gigi di rumah Loren untuk saya.,Please get me toothpicks from Loren’s place.,
icok,icok tincak,tusuk sate,satay stick,n,berapaq icoq tincak yaq temesatn koi?,berapa tusuk sate yang kamu pesan?,How many sticks of satay did you order?,
idok,,pendek,short,a,kajuq mooq tih nyi dang kajuq idok tih nyi mai ulih anyaan kamiq necaak,Kayu panjang dan kayu pendek ini disiapkan agar bisa kami injak,These long and short pieces of wood were prepared for us to step on,
idok,idok bodak,potongan badan yang sangat pendek,very short body part / segment,n,mui akui dang lihaq yaq idoq bodak joq,Aku tidak mau pacaran dengan laki-laki yang pendek,I don’t like dating short guys,
idok,idok bodak,sangat pendek,extremely short,a,adui sampai anak koi nenoq umakng tamaai kee yaq permaq telahui idok bodak,"Jangan sampai anakmu seperti bapaknya, sudah hitam dan badannya pendek lagi.","Don’t let your child end up like his father, dark-skinned and short.",
idok,idok nooq,potongan yang tidak rata,uneven cut,a,unya motoq alau koi idok mooq ogeq joq?,Siapa yang memotong rambutmu jadi panjang-pendek begitu?,Who gave you that uneven haircut?,
ihaar,,tepung daging yang dikeringkan,meat flour,n,lonya caraq nengaq ihaar?,Bagaimana cara membuat tepung daging kering?,How do you make dried meat flour?,
ihaau,,duku,duku fruit; Lansium domesticum,n,mamih agi ihaau eteq kampukng Awai,manis juga buah duku dari kampung Awai,The duku fruit from Awai village is also sweet,
ihuq,,centong; sendok nasi dari kayu,rice scoop,n,"ihuq akui tenengant tuaq longas baq regaq, baq agi bueh ngatn tuaq Rudi","Aku punya dua centong nasi buatan Om Longas, dan satu lagi buatan Om Rudi.","My rice scoops: two were made by Uncle Longas, and one by Uncle Rudi",
ihuq,,irus,slice / sliver / thin cut,,,,,
ijok,,alat penusuk.,pricker / spike / piercing tool,n,"nakiq ijok kepm joq aleq, akui ewah ngijoq pipa.","Tolong pinjamkan alat penusukmu, aku mau melubangi pipa.","Lend me your piercing tools, I want to pierce the pipe.",
ijooq,,yang itu.,that one,,yaq ijooq yaq akui ewah sapaai ke,Itu baju yang aku mau.,That’s the one I want,
ijuk,,ijuk,palm bristle / black palm fiber,n,sapuq ijuk joq didinya kepm nengaq ke?,Sapu ijuk itu kamu buat di mana?,Where did you make that broom from palm bristles?,
ikoor,,keadaan tidak aman,unsafe ,a,"ikoor agi kamiq, baq genoh ulutn nangi eteq lapm roboot",Keadaan kami tidak aman; terdengar suara orang menangis dari dalam hutan.,Our situation is unsafe — we can hear someone crying in the woods.,
ilaakng,,tungau; Acarina,mite,n,beseloar naq bihitn tengeket ilaakng,"Pakailah celana, Nak, supaya tidak digigit tungau","Wear your pants, kid, so you won’t get bitten by mites.",
ilap,,halilintar; kilat,lightning,n,ilap beberep eteq wenau moot telahui meneq wenau mate ,Kilat menyambar dari matahari terbit hingga matahari terbenam,Lightning flashed from sunrise to sunset,
ilak-aluk,,pontang panting karena terjatuh.,flustered / frantic after falling,,Diq joq calatn uge ilak-iluk ,anak laki-laki masih jalan pontang-panting karena terjatuh,the boy was still walking helter-skelter because he had fallen,
ilakng,,sejenis rumput yang merambat di tanah berdaun lebar berwana merah,a creeping plant with wide red leaves,n,,,,
ilang,,ayakan,sieve / strainer,n,,,,
ileh,,siring papan kecil.,small wooden gutter,n,,,,
iliir,,bekatul; ujung beras yang ditumbuk,rice bran,n,adiq lebi iliir waha yaq temeceep joq,Bekatul yang ditampi ini banyak sekali,There’s a lot of bran from this winnowing,
ilik,,nyiru,rice sifter,n,,,,
ilok,,alat untuk membersihkan yang tersumbat,plunger,n,,,,
ilooh,,peluang,chance / probability,n,baq ilooh haai non garipm neq tamaq kerjaq?,Apakah ada peluang bagi adikmu untuk bekerja?,Is there any chance for your younger sibling to get a job?,
iluut,,jejak yang terlihat pada rumputan,footprints on the grass,n,,,,
impaatn,,tersedia waktu,available time,n,impaatn koi nengaq ihuq non akui yaq?,"Kalau ada waktu luang, tolong buatkan centong nasi untukku, ya.","If there’s any available time, please make a rice scoop for me.",
impas,,rotan yang digunakan untuk permainan tradisional; cemeti rotan,rattan whip,n,nengaq impas amun yusuf dang erik kelahiq ogeq,buatkan cambuk rotan untuk yusuf dan erik kalau mereka berkelahi terus,Make a rattan whip for Yusuf and Erik if they keep fighting,
imu itukng,,pengawasan; kepemilikan,supervision,n,,,,
inuk,,alat untuk mencari kutu yang dibuat dari bilah bambu.,bamboo lice comb,n,tabeq agi koi bahatn inuk non akui,permisi kamu buat alat pencari kutu buat aku,"Excuse me, can you make a lice comb for me?",
imuung,,gelendong benang,thread spool,n,,,,
ina,,sejenis kayu yang apabila kulitnya dibakar berbau harum untuk penamgkal hantu atau roh jahat,sacred-smelling wood for repelling evil spirits,n,,,,
inaq,,belum,not / haven’t,adv,Runukng kopaaq inaq encaak,Rambutan yang sudah koyak belum matang,The split-open rambutan is not yet ripe,
incaq,,masak,cooked,a ,sukat saq regedaq dang saq incaq,sampai benar-benar mendidih dan matang,until it comes to a boil and is fully cooked,
incapm,,pinjam; meminjam,borrow,v,Incapm alih sepeda motor kepm!,Saya pinjam dulu sepeda motormu!,Let me borrow your motorcycle for a while!,
incuk,,besi runcing (penembus),sharp iron spike,n,,,,
inga,,hingga,"until, up to",prep,,,,
ingaq,,teman,friend,n,pelau ingaq koi muliq amun koi bihitn di alaq,Carilah teman untuk pulang kalau kamu takut di jalan.,Ask a friend to accompany you home if you feel unsafe on the street.,
ingaq,ingaai,temannya,his/her friend,n,unya ingaai isaq joq metih?,Siapa teman dia yang datang ke sini?,Who is his friend that came here?,
ingaq,ingaan,temanmu,your friend,n,ingaan akui nyi Anne kekat ji kampukng muara asa,"Temanmu tadi, Anne, pergi ke kampung Muara Asa",your friend Anne went to Muara Asa village earlier.,
ingaq,ingang,teman saya.,my friend,n,"baq ingang willi didapeq, samaq pihitn.","ada teman saya willi di rumah, sama-sama penakut","there is my friend willi at home, both are scared",
ingkoot,,ekor,tail,n,ingkoot bahayaq joq moq lebi,ekor buaya itu panjang sekali,The crocodile’s tail is very long,
inok nanit,,sejenis katak yang berlendir.,A species of slimy frog,n,,,,
impaaq,,bahan untuk makan sirih.,Ingredients for chewing betel,n,nya koi baq enteq impaaq nhi?,Kamu bawa tempat nyirih?,Did you bring the betel-chewing set?,
impas,,potongan rotan untuk pemukul.,Rattan beater pieces,n,mamak baq taroh gaai anyatn mimpas kamiq yaq calatn ogeq,Mama punya rotan simpanan untuk memukul kami kalau kami terus berjalan (nakal/tidak patuh).,Mother keeps a piece of rattan to remind us when we don’t behave.,
impatn,,bisa melaksanakan pekerjaan; ada waktu; sempat,able to carry out the work / capable of doing the job,v,mun baq pengimpatn akui kekat ji muara asa,"Kalau ada waktu, aku akan pergi ke Muara Asa.","If I have time, I’ll go to Muara Asa because I’m able to carry out the work there",
inpikng,,gabus yang dipasang di pangkal anak sumpit,cork fitted to the base of a blowpipe dart,n,,,,
intaatn,,pancing untuk menangkap ikan pada malam hari,night fishing line,n,,,,
intakng,,mayat yang sudah dikafani; kain kafan,a corpse wrapped in a shroud,n,,,,
intootn,,dongeng; cerita rakyat,folktale / fairy tale,n,boq waweq intootn non Wilan seginaq tiro,Nenek menceritakan dongeng kepada Wilan sebelum tidur,"Before bedtime, Grandmother told Wilan a fairy tale",
intukng,,"bayangan tak jelas, samar-samar.",blurred shadow / dim shadow / faint silhouette,n,,,,
intutn,,cerita perbandingan.,parable / allegorical story / comparative tale,n,,,,
intutn,intutn ene,ceritera perbandingan pegangan orang dalam memutuskan perkara,A comparative or allegorical story used as a guideline by people in making decisions or resolving disputes.,n,,,,
inuk,,sisir kutu yang dibuat dari bambu,bamboo lice comb,n,"pore inuk joq, unya bahatn non kepm?","bagus sekali sisir kutu itu, siapa yang membuatnya untuk kamu?",that lice comb is really nice; who made it for you?,That’s a beautiful lice comb. Who made it for you?
inya,,yang mana,"which, which one",det,taai elau haq je lapm talutn miliq inya uhaq bibit yaq bajik,kita mencari ke dalam hutan memilih yang mana bibit yang baik,We went into the forest to choose which seedlings are good,
inyaang-anyeeng,,compang camping.,"tattered, ragged",a ,,,,
ipa,,seberang,the other side / across/ opposite,n,akui uhikng atih kekat ji ipa to,Nanti sore aku akan pergi ke seberang sana.,I’m going across there this afternoon,
ipa,ipa anih,seberang sana,across there,np,"lonya taai nyi kaheq kekaat ji ipa anih, bihitn mahah didaneh yaq adiq metuuq kee","Masa kita tidak pergi ke seberang sana? Di sanalah banyak ikannya, sayang kalau tidak ke sana.",How could we not go across there? That’s where all the fish are!,
ipa,ipa tih,seberang sini,this side,np,"kekaat ogeq kamp ji ipa tih, adiq lebi jabaau polaq uhaq men eris neq","Kalian pergilah ke seberang sini, banyak sekali singkong dari tanaman Mama Eris.",You guys should come to this side; there are lots of cassava plants from Mama Eris’s garden.,
ipa,ipa to,seberang sana,on the other side,n,nyama nkajuq ngant kamp di ipa to?,apa kegiatan kalian di seberang sana?,What are you guys doing on the other side?,
ipi,,angka sama pada kartu judi,matching numbers on a gambling card,n,,,,
ipu,,ipuh; upas; Antiaris toxicaria,"upas tree, Antiaris toxicaria (blowpipe poison",n,,,,
ipuuq,,bisa (racun),"venom, poison",n,Motoq aleeq ipuuq kalaaq jooq,Potong dahulu bisa kalajengking itu,Cut off the scorpion's venom first,
irau,,tebasan yang belum ditebang,uncut clearing,n,"ewah bahatn umaq, tapui ginaq tenirau","Saya ingin membuka ladang, tetapi lahannya belum ditebas","I want to make a field, but it’s still an uncut clearing",
irekng,,kait besi,iron hook,n,,,,
iro manuk,,tidur ayam,"light sleep, doze off",n,akui nyi ise iroo manuk beneh,Tadi saya hanya tidur ayam saja,I just dozed off lightly earlier.,
irokng,,pengait pada mata pancing atau trisula agar sasaran tidak terlepas,barb,n,,,,
iruk,,ujung yang lancip,a pointed tip,n,,,,
isa,,pisau; pisau raut; peraut rotan,"knife, whittling knife, rattan shaver",n,isa tenasaq mai masuk,pisau diasah supaya tajam,The knife was sharpened so that it became sharp,
isa,isa meluai,pisau untuk menghaluskan rautan,knife for smoothing shavings,n,,,,
isaq,,dia,he / she / they,pron,isaq ulutn sakti,dia orang sakti,She is a powerful person,
isaak,,perdu yang hidup di air,aquatic shrub,n,,,,
isai,,baru,new,a ,dang nareq belupm yaq isai ja taai,Dan memberikan hidup yang baru kepada kita,And brings new life to us,
isak isik,,jenis rumput - rumputan bisa digunakan untuk obat luka,A species of grass is traditionally used as a remedy for wounds,n,,,,
ise,,baru saja,just,adv,Tuhiq jooq ise berengkaat eteq empaatn.,Anak itu baru saja bangun dari tempat tidur.,The child just woke up from the bed,
ise,ise empeq,baru sampai,just arived,adv,akui ise empeq dapeq muliq kerjaq,Aku baru sampai di rumah setelah pulang kerja,I just arrived home from work,
ise,ise moot,tiba-tiba berdiri,suddenly stood up,adv,"eteq nya koi bi ise moot, ulutn pelau koi ogeq",Kamu dari mana? Mengapa tiba-tiba berdiri? Semua orang sudah mencarimu dari tadi.,Where have you been? Why did you suddenly stand up? Everyone’s been looking for you,
ise,ise moot,baru datang,just arived,adv,jam adi itih bi ise moot?,Ini sudah jam berapa? Kok baru datang?,What time do you call this? You’re only just arriving!,
ise,ise nyi,baru saja,just,adv,ise nyi agi akui kiteq saq dacukng di telamaq dapeq,Aku baru saja melihat dia duduk di depan rumah,I just saw him sitting in front of the house,
isi,,isi,substance,n,dang latala tih sooq pejadi tanaq langit sekelep isi dunia tih,"Dan Allah telah menjadikan langit, bumi, dan seluruh isinya","And Allah has created the heavens, the earth, and the substance of this world",
isiq,,jenis biawak,species of monitor lizard,n,,,,
isik,,benda tajam,sharp object,n,,,,
ite,,"itu, yang itu","that, that one",pron,"yaq inya tuhiq ke, nya yaq ite?",Mana anaknya? Apakah yang itu?,Which one is their child? Is it that one?,
itih,,ini,this,pron,itih pecahan eteq sendawar,ini pecahan dari sendawar,This is a piece from Sendawar,
itih,itih beneh,hanya ini,only this,adv,"akui kadi ewah itih beneh, kaheq yaq ble","Aku hanya mau yang ini saja, tidak yang lain","I only want this one, not the others",
itit,,kecil,"small, little",a ,akuq ewah bekesah pas jaman kamiq uge itit siq,aku ingin bercerita saat zaman kami masih kecil dulu,I would like to share about the days when we were little,
itir,,kayu itir,itir wood,n,,,,
ito,,itu,"that, that one",pron,ito kah uhaq?,Apakah itu dia?,Is that him/her,
itukng,,hitungan.,count,n,,,,
iweq,,turun (dari gendongan); rendah,get down (from being carried) / come down (from the sling/arms/back),v,iweq kemp joq bentat was,"Tolong turun dulu, kamu berat sekali","Get down, you’re so heavy!",
iweq,,bawah,under,prep,"iweq nya koi, ulai atau taoq?","Kamu di bawah yang mana, kiri atau kanan?",Which side are you under — the left or the right?,
iwetn,,di bawah,"below, under, beneath",prep,"iwetn koi tih akui, sidaq koi kulep ji ulai","Aku ini di bawah kamu, coba kamu lihat ke kiri",I’m right under you — try looking to your left.,
iwetn balai,,rendah derajat,"low rank, low status",n,,,,
iyang,,panggilan untuk anak perempuan,term of address for a girl,n,iyang didinya mem nyi?,"iyang, dimana mama mu?","Sweetie, where’s your mom?",
iyaq,,iya,yes,n,"akui soq pareq iyaq, berarti akui kekaat","Aku sudah bilang iya, itu artinya aku pergi.","Aku sudah bilang iya, itu artinya aku pergi.",
iyatn,,sungai; sungau tempat mandi,river,n,aap ulih kerangoi dang nyelapm deq iyatn ajaq joq,saya bisa berenang dan menyelam di sungai besar itu,"I told you yes, so I’m going",
iyoot,,nama burung betet yang muda,the term for a juvenile parakeet,n,,,,
ja,,kepada,to,p ,Dera areq hadiah ulang tahun ja penganaa ke.,Dera memberi hadiah ulang tahun kepada keponakannya,Dera gave a birthday present to her/his niece/nephew,
ja,,ke,"on, onto",p,lengan paatn tempokng ja mooq calaq,pohon pinang rebah ke jalan,An areca palm fell onto the road,
ja,ja aneh,ke situ,over there,p,"akui ewah ja aneh aleq yaq, atih ogeq akui singah koi.","Aku mau ke sana dulu, nanti saja aku singgah ke tempatmu",I’m going over there first; I’ll stop by later.,
jabaas,,"selimut, ","wrap cloth, sarong",n,tajukng Doni jabas tenarik akui sion kenyek ogeq akui,Sarung Doni robek karena aku menariknya; dia terus mengejekku,I tore Doni’s sarong because he kept mocking me.,
jabau,,singkong; ubi kayu; ketela pohon,"cassava, nanihot esculenta",n,kamin molaq jabau di umaq,kami menanam singkong di ladang,We planted cassava in the field.,
jabau,jabau kilip,singkong yag tidak bisa berumbi,cassava that does not produce tubers,n,ulih apah rotn jabau kilip neq tengumatnn awaq mersiaq?,Apakah daun singkong yang tidak berumbi dapat dimakan oleh manusia?,Can cassava leaves that do not produce tubers be eaten by humans?,
jabau,jabau kuning,singkong kuning,yellow cassava,n,pajiq apah jabau kuning joq anyant nengaq jajaq?,Apakah singkong kuning itu bagus untuk membuat kue?,Is yellow cassava suitable for making traditional cakes?,
jabau,jabau putiq,singkong putih,white cassava,n,"nenoq kamp jabau putiq ji umaq akui, taai ngerehatn ngaq adiq",Silakan ambil singkong putih di ladangku; nanti kita menggorengnya dalam jumlah banyak.,Please collect the white cassava from my field; we’ll fry plenty later,
jabau,jabau temutuk,"getuk, penganan dibuat dari ubi dan sebagainya yang direbus, kemudian dicampur gula dan kelapa ditumbuk sekaligus","getuk, a traditional snack made from boiled cassava (or other tubers), mixed with sugar and grated coconut, then pounded together",n,penong ke kumant jabau tenutuk,Saya sangat ingin makan getuk,I really want to eat getuk,
jabui,,dangkal,shallow,a,nyanaq yaq anum neq hajaq heq togaq yaq jabui bneh,"Kukira air ini dalam, ternyata dangkal saja","I thought the water was deep, but it’s actually shallow.",
jabuk,,"buruk, lapuk (terkait dengan keadaan kayu)","rotten, decayed",a,"soq jabuk kajuq joq, maka ewah non kajuq apui","Karena kayunya sudah buruk, jadi kita ambil saja buat kayu bakar.","Since the wood has decayed, we decided to use it as firewood.",
jabuq,,dangkal,shallow,a,,,,
jaditn,,jadi,become,v,Isaq jaditn mersiaq telahui diapm di engkelakng mersiaq,dia menjadi manusia kemudian tinggal di sekitar manusia,he/she became human and then lived among humans,
jagaq kelapm,,ronda malam,night patrol,n,unya kagaq kelapm tih di pos taai?,Siapa yang menjaga pos kita malam ini?,Who’s on night patrol at our post tonight?,
jagaq,,jaga,watch,v,jagaq hojatn kadii ngulih dekot ke bneh,jaga durian cuma dapat buah yang kecil aja,"even though the durian tree was well cared for, it only yielded small fruits",
jagokng,,jagung ,"corn, zea mays",n,adi bontakng jagokng temesatn koi ?,berapa tongkol jagung yang kamu pesan?,how many ears of corn did you order,
jagur,,kepalan tangan,"clenched fist, fist",n,mengkamp jagur beneh kulaq joq,Dia itu hanya mengepalkan tangan saja,He just clenched his fist.,
jahaas,,durian yang sudah jatuh,a durian that has dropped (from the tree),n,,,,
jahamiq,,jerami,straw,n,"jahamiq tih adiq lebi, unya yaq ewah nenoq ogeq jumaq","Jerami di ladang masih numpuk, siapa yang mau ambil, ambil aja!",There’s so much straw here. Anyone who wants it can take it from the field.,
jahep kuman,,makan cepat,eat quickly,v,jahep kuman ayaaq tih,makan cepat ubi jalar ini,eat this sweet potato quickly,
jai rasa,,selera buruk,"bad taste, poor appetite",n,"jai rasa ewah akui tih, sion tipes",Selera makanku sedang buruk karena tipes,My appetite is poor because of typhoid.,
jajaak,,sudah merupakan kebiasaannya; memang seperti itu,it is his/her usual habit; that is how he/she is.,a,"jajaak lakunt kae memang laneh,  kaheq hanyiq akui tingka",Sudah menjadi kebiasaannya bersikap seperti itu; aku tidak berani menegurnya,It’s already his habit to act like that; I don’t dare to scold him,
jajaaq,,"roti, kue","bread, cake",n,akui dang ayuu akui kekaat ji pasar meliq jajaaq,aku dengan iparku pergi ke pasar membeli kue,I went to the market with my in-law to buy cakes.,
jajaau,,minggat; pergi meninggalkan tempat.,"run away, take off",v,nyama lahitn megaq sampai tamant kael jajaau ji begukng?,Apa yang membuat kalian berkelahi hingga Bapak Kael pergi ke Bigung?,"Why did you fight, making Mr. Kael run away to Bigung?",
jaji,,pintar,"smart, clever",a,tuhi aneh jaji was,anak itu pintar sekali,That child is very smart,
jaji joos,,kepintaran yang tidak berguna,"intelligence of no use, useless intelligence",n,koq joq jaji joos mahah,"Kamu itu pintar, tetapi tidak berguna","You’re intelligent, but not useful",
jajong,,tidak dapat apa-apa,"did not get anything, came away empty-handed",v,jajong akui kekat nengkaruq hojatn,"Pergi mencari durian, tetapi tidak mendapatkan apa-apa","He went durian hunting, but came back empty-handed",
jaka,,"jika, seandai",if,p,jaka yaq ulih tenyarakng ngempajiq yaq ngepanjiq lah,"Jika sesuatu bisa dibicarakan dengan baik-baik, maka bicarakanlah dengan baik-baik.","If you can talk things out nicely, then do it nicely.",
jakaat,,berdiri,stand,v,sidaq koi jakaat aleq,coba kamu berdiri dulu,please stand up for a moment,
jakar,,ujung kuku,"tip of the nail, fingertip",n,jakar unya neq?,ujung kuku siapa ini?,Whose fingernail tip is this?,
jalaq,,jala,net,n,tungkan aap nangkap metuuq deq iyatn dang jalaq,kakak menangkap ikan di sungai dengan jala,my brother catches fish in the river with a net,
jalaq,jalaq itit,jala kecil,small net,n,kadi baq jalaq itit bneh,Hanya ada jala kecil saja,There’s only a small net,
jalawat,,ikan jelawat,"Jelawat fish, Hoven’s carp, Leptobarbus hoevenii

",n,didinya kapm nangkap jalawat neq ading yaq hajaq,di mana kalian tangkap ikan jelawat yang besar ini,where did you catch this big jelawat fish,
jaliq naiq,,"mag, gastritis","indigestion, acid reflux, gastritis",n,,,,
jaliq,,lampit,woven rattan mat,n,kamiq tiro beempaatn jaliq,kami tidur beralaskan tikar lampit,we slept on a woven rattan mat called a lampit.,
jalo,,makanan yang dimasak dalam bambu,food cooked inside bamboo tubes,n,,,,
jaluh,,(me-) timpa,"to fall on, to collapse on",v,lengaan lehaat pelak jaluh lengaan hojaatn,pohon langsat patah tertimpa pohon durian.,the langsat tree broke when the durian tree fell on it,
jaluq,,alergi; pantang,allergy; abstinence,n,,,,
jamit,,cepat,"fast, quick",a,ayooq mosai ngaq jamit,ayo mendayung dengan cepat,"come on, row faster",
jampa,,obrolan santai,"casual conversation, informal talk",n,"watu digai ulih jampa, maai was heq tekatn jampa dang koi",Kapan kita bisa berbincang santai lagi? Sudah lama sekali kita tidak berbincang santai seperti dulu,When will we have a chance to talk leisurely again? It has been a long time since our last casual conversation.,
jampiq,,jampi,"incantation, spell, mantra",n,,,,
jampukng,,terpotong (padi),"cut rice, rice stalks that have been cut",v,,,,
jamuq,,jambu,guava,n,adi regai jamuq joq?,berapa harga jambu itu?,how much is that guava?,
jamuq,jamuq batu,jambu batu,"guava, Psidium guajava",n,unya baq bibit jamuq batuq ?,Siapa yang mempunyai bibit jambu batu?,Who has guava seedlings?,
jamuq,jamuq monyet,jambu mente,"cashew apple, Anacardium occidentale",n,jamuq monyet joq didinya koi meliq ke?,Jambu mente itu kamu beli di mana?,From where did you purchase that cashew apple?,
jangaakng,,pakis hutan yang bisa dibuat anyaman di hulu parang ,a type of forest fern suitable for weaving around the upper handle of a machete,n,,,,
jangan,,musibah,"misfortune, adversity, disaster",n,"baq jangaan kebeleh denaq anih, ayok taai kekaat awat",Ada musibah di ilir sana; mari kita pergi membantu mereka,There’s a disaster over there in the lower area; let’s go help them,
jangan jaratn,,malapetaka,"catastrophe, calamity, great disaster",n,,,,
janggut,,janggut,beard,n,,,,
jangkaaq,,jarak,distance,n,,,,
jangkaaq,jangkaaq tukaar,jarak lubang tugalan ,"dibble hole spacing, planting hole spacing",n,ngaq agi jangkaaq tukaar joq,Buat juga jarak antar-lubang tugalan itu.,Also make the spacing between the planting holes,
jangkaatn,,sebab,"cause, reason; because, since, as",np,"jangkaatn isaq yaq enteq akui raduq sempelupm, akui kaheq agi bi togaq maksa saq maai tetap bero dang akui","Karena dia yang menyebabkan aku bercerai, aku juga tidak bisa memaksanya untuk tetap bersamaku","Since he was the reason for our separation, I can’t insist that he remain by my side.",
jangkau,,walang sangit,"stink bug, Leptocorisa oratorius",n,baon jangkaau koi tih,Kamu ini bau walang sangit,You smell like a stink bug,
jangkiq,,enggan,"reluctant, unwilling, hesitant",adv ,,,,
jangoot,,"ikan seluang, jenis ikan air sungai berbentuk bulat panjang bergaris hitam membujur pada badan.","a type of freshwater river fish with an elongated, cylindrical body and a longitudinal black stripe along its side; seluang fish, Rasbora spp.",n,,,,
jangut,,janggut,beard,n,moq ke jangut boq lihaq joq,Panjangnya janggut kakek itu,That old man’s beard is long,
janit,,cepat;sigap; tangkas,quick; alert; agile,a,janit lebi uhaq calatn unekng,cepat sekali dia jalan kaki,he/she walks extremely quickly,
jampikng,,janggut,beard,n,temihitn jampikng pelgaq joq nyah,"Janggut orang tua itu ditakuti, ya?","That old man’s beard is feared, huh?",
jantur,,air terjun,water fall,n,koi soq tekatn ji jantur inaar ?,Apakah kamu sudah pernah pergi ke Air Terjun Inar?,Have you been to Inar Waterfall?,
janya,,ke mana,to where,pron,janya koi calatn joq?,Kamu jalan ke mana tadi?,Where did you walk to?,
janyiq,,(ber)janji,promise,v,"aap akan nolong koi, tapi janyiq adui ganguq aap lagiq","aku akan menolongmu, tetapi janji jangan mengganggu aku lagi","I will help you, but (you have to) promise not to bother me again",
jaraas,,hutan gersang,barren forest,n,jaraas ke  talutn di ipa joq,Hutan di seberang sana tampak begitu gersang.,How barren the forest across there is,
jarakng,,kadang-kadang bertemu; jarak yang sangat jauh ,"occasionally meet, meet from time to time;  a very long distance",adv,jarakng pogai adiq non anyan tenguman beneh,"jarang dijual banyak, sebagian untuk dimakan saja","rarely sold in large quantities, mostly kept for consumption",
jarakng jeretakng,,terlalu renggang,"too loose, too sparse, too spaced out",adv,,,,
jarapm,,kutu air,athlete’s foot,n,beroheq maai was singkat unekng akui kenaq jarapm,"Cucian itu lama sekali, sampai-sampai tanganku kaku dan aku kena kutu air",I was washing for so long that my hands got stiff and I caught athlete’s foot,
jaras,,tanah berpasir,sandy soil,n,diq Kampukng Sentalar alaq ke jaras was,"Di Kampung Sentalar, jalannya masih berupa tanah berpasir","In Sentalar Village, the roads are made of sandy soil.",
Jaras,,nama tempat di Barong Tongkok,names of locations in Barong Tongkok,n,taai kaheq kekaat ji jaras?,Kita tidak pergi ke Jaras?,Are we not going to Jaras?,
jarekng,,jarang,"rare, sparse, infrequent",a,jarakng lagiq uhaq joq sikatn ji dapeq,Dia sudah jarang bertamu ke rumah.,He rarely visits the house anymore,
jariq,,tabu,taboo,n,,,,
jaring,,jaring,"net, mesh, web",n,jaring unya yaq temakai joq?,Jaring siapa yang dipakai itu?,Whose net is being used?,
jarukng,,nama dewa,name of god,n,,,,
jarukng,,utusan,"messenger, envoy, delegate",n,,,,
jarukng muruuq,,suara petir yang sambung-menyanbung ,thunderclaps in succession,n,,,,
jatih,,ke sini,to here,pron,"kekaat ogeq jatih, baq akui agi diditih","Datang saja ke sini, aku juga ada di sini.","Just come here, I’m here too",
jato,,ke situ,to there,pron,"jato alih, kekaat meliq metuuq",Pergi dulu ke situ untuk membeli ikan,Go there first to buy some fish,
jaukng,,sejenis katak tapi mereka tinggal di kolam atau di air yang tergenang tapi kalau di makan bisa mabuk apabila salah cara memasaknya,"a type of frog that lives in ponds or stagnant water, but can cause poisoning if eaten when cooked improperly",n,,,,
jaukng jongook,,orang yang duduk seperti katak (dalam tradisi orang dayak)  sambil memperhatikan orang yang sedang mandi,"sitting in a frog-like manner, as practiced in Dayak tradition, while watching someone who is bathing",n,,,,
jaung,,sejenis sayuran hutan yang rasamya asam,a kind of forest vegetable with a sour flavor.,n,,,,
"jaung, tekaloq",,jaung,a kind of forest vegetable with a sour flavor.,n,,,,
jauq,,pancing; kail,"fishing rod, fishing line; hook",n,,,,
